Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB parts","this is for what I will solder through on the pcb",1,39.00,"https://www.digikey.com/ordering/shoppingcart","Digikey"
"PCB","This is the PCB with the sadly minimum allowed which is 5",1,23.00,"https://cart.jlcpcb.com/shopcart/cart/","JLCPCB"
